Name,Brand Name,Year of Manufacture,Distance Traveled,Fuel Type,Owner Type,Price
Honda Amaze 1.2L I-VTEC VX CVT,Honda,2017,"21,464 km",Petrol,1st owner,₹8.82L
Hyundai Verna 1.6 VTVT SX,Hyundai,2017,"86,015 km",Petrol,1st owner,₹6.68L
Maruti Wagon R 1.0 VXI+ (O) MT,Maruti,2017,"92,836 km",Petrol,1st owner,₹3.85L
KIA SELTOS HTX PLUS 1.5 DIESEL,KIA,2017,"71,170 km",Diesel,2nd owner,₹12.70L
Maruti Wagon R 1.0 VXI,Maruti,2017,"92,102 km",Petrol,1st owner,₹3.86L
Tata NEXON XM PLUS SUNROOF PETROL,Tata,2017,"10,718 km",Petrol,1st owner,₹9.98L
Hyundai NEW I20 Asta 1.0 GDI Turbo IMT,Hyundai,2017,"27,958 km",Petrol,2nd owner,₹8.00L
Honda BR-V 1.5L I-VTEC E,Honda,2017,"1,23,133 km",Petrol,1st owner,₹6.12L
Maruti Swift Dzire VXI,Maruti,2017,"62,067 km",Petrol,1st owner,₹4.34L
Honda City 1.5L I-VTEC SV,Honda,2017,"98,941 km",Petrol,2nd owner,₹4.76L
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Hyundai,2017,"34,898 km",Petrol,1st owner,₹4.38L
Honda City 1.5L I-VTE V CVT,Honda,2017,"89,966 km",Petrol,1st owner,₹6.69L
Honda Amaze 1.2L I-VTEC SX,Honda,2017,"81,183 km",Petrol,1st owner,₹4.56L
KIA SELTOS GTX PLUS 1.4,KIA,2017,"19,141 km",Petrol,1st owner,₹15.65L
Maruti Dzire VXI AMT,Maruti,2017,"52,707 km",Petrol,2nd owner,₹7.06L
Maruti Baleno DELTA PETROL 1.2,Maruti,2017,"97,531 km",Petrol,1st owner,₹5.13L
Maruti Swift VDI ABS,Maruti,2017,"90,513 km",Diesel,1st owner,₹5.21L
Renault TRIBER RXZ AMT,Renault,2017,"19,391 km",Petrol,1st owner,₹6.03L
Honda Amaze 1.5L I-DTEC S CVT,Honda,2017,"1,00,516 km",Diesel,1st owner,₹6.43L
Honda Amaze 1.2L I-VTEC VX,Honda,2017,"20,490 km",Petrol,1st owner,₹6.95L
Maruti Swift Dzire ZXI,Maruti,2017,"38,023 km",Petrol,1st owner,₹6.23L
Honda City 1.5L I-DTEC V,Honda,2017,"95,906 km",Diesel,2nd owner,₹5.46L
MG HECTOR STYLE 1.5 PETROL,MG,2017,"37,073 km",Petrol,1st owner,₹12.30L
KIA SELTOS HTX IVT 1.5 PETROL,KIA,2017,"36,514 km",Petrol,1st owner,₹11.71L
Hyundai Elite i20 SPORTZ 1.2,Hyundai,2017,"72,715 km",Petrol,1st owner,₹5.66L
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Hyundai,2017,"53,131 km",Petrol,2nd owner,₹4.83L
Skoda KUSHAQ STYLE 1.0L TSI AT (6 AIRBAGS),Skoda,2017,"19,562 km",Petrol,1st owner,₹15.08L
Maruti Celerio X ZXI AMT,Maruti,2017,"14,268 km",Petrol,1st owner,₹4.94L
Hyundai Eon SPORTZ,Hyundai,2017,"43,699 km",Petrol,2nd owner,₹3.05L
